"私はイギリスの留学生です。","我是英国留学生","unlearned"
"彼らはアメリカ人ではありません。","他们不是美国人","unlearned"
"彼の名前は黄で、王ではありません。","他姓黄，不姓王。","unlearned"
"張教授は物理を研究します。","张教授研究物理","unlearned"
"私たちは毎日太極拳をします。","我们每天打太极拳","unlearned"
"これは広東料理です。","这是广东菜","unlearned"
"これは彗星ペンで、油性ペンではありません。","这是水性笔，不是油性笔。","unlearned"
"あれは大阪駅ではなく、新大阪駅です。","那不是大阪车站，是新大阪车站。","unlearned"
"これは月餅です。","这是月饼","unlearned"
"月餅はこれです。","月饼是这个","unlearned"
"それは私の家にあります。","那个在我家","unlearned"
"私はこれが欲しい。","我要这个","unlearned"
"魯迅は文学家であり、思想家でもあった。","鲁迅是文学家，也是思想家","unlearned"
"李さんも一人っ子です。","小李也是独生子女","unlearned"
"張さんは英語も教えています。","小张也教英语","unlearned"
"私の眼鏡","我的眼镜","unlearned"
"私の腕時計","你的手表","unlearned"
"かれのノートパソコン","他的笔记本电脑","unlearned"
"図書館の本","图书馆的书","unlearned"
"博物館の展示品","博物馆的展品","unlearned"
"ファストフード店のメニュー","快餐店的菜单","unlearned"
"私たちの学校","咱们学校","unlearned"
"私たちの会社","我们公司","unlearned"
"私の母","我妈妈","unlearned"
"私の兄","你哥哥","unlearned"
"あなたは広東人ですか？私は広東人ではなく、福建人です。","你是广东人吗？我不是广东人，我是福建人","unlearned"
"あなたは中国の留学生ですか？いいえ、私は韓国の留学生です。","你是中国留学生吗？不是我是韩国留学生","unlearned"
"あなたはかれの誕生日パーティーに参加しますか？参加します。","你参加他的生日聚会吗？我参加","unlearned"
"冷蔵庫の中にコーラがあります、自分で取ってください。","冰箱里有可乐，你自己拿","unlearned"
"東南アジアには冬がない","东南亚没有冬季","unlearned"
"明日パーティーがある。","明天有联欢会","unlearned"
"私には兄弟姉妹がいない。","我没有兄弟姐妹","unlearned"
"Aの東の方にはBがあり、西の方にはCがある。","A东边儿是B，西边儿是C","unlearned"
"南の方には山が、北の方には川がある。","南面有山，北面有河","unlearned"
"本棚の上にほこりがあり、机の上にも灰がある。","书架上有灰，桌子上也有灰。","unlearned"
"駅の中にはATMがない。","车站里没有自动取款机","unlearned"
"彼はオリンピック競技が見たい。","他想看奥运比赛","unlearned"
"私は休みたい、出かけたくない。","我想休息，不想出门","unlearned"
"誰があなたたちのクラスの担任ですか？","谁是你们的班主任？","unlearned"
"これは誰の携帯番号ですか？","这是谁的手机号码？","unlearned"
"あなたは何を食べたいですか？","你想吃什么？","unlearned"
"あなたはどんなお茶を飲みたいですか？","你喝什么茶？","unlearned"
"機能の積雪は何センチメートルありましたか？","昨天的积雪有几厘米？","unlearned"
"あなたは何年生ですか？","你是几年级的学生？","unlearned"
"京都と奈良は日本の古都です。","京都和奈良是日本的古都","unlearned"
"彼女は音楽と文学を好む。","她热爱音乐和文学","unlearned"
"私は北京、天津、西安と広東省にいく。","我去北京、天津、西安和广州。","unlearned"
"6時29分","六点二十九","unlearned"
"今何時？","现在几点？","unlearned"
"2時15分","两点一刻","unlearned"
"１２時半","十二点半","unlearned"
"5時45分","五点三刻","unlearned"
"9時55分","差五分十点","unlearned"
"2時03分","两点零三分","unlearned"
"今日は何曜日？","今天星期几？","unlearned"
"今日は何月何日？","今天几月几号？","unlearned"
"坊や、あなたは何歳？８歳。","小朋友，你几岁？八岁。","unlearned"
"私はビールが欲しい。何本？","我要啤酒。要几瓶。","unlearned"
"今日は何月何日？１２月２８日。","今天几月几号？十二月二十八号。","unlearned"
"大学の中にはコンビニがない。","大学里没有便利店。","unlearned"
"あなたの専門は何ですか？","你的专业是什么？","unlearned"
"今日は水曜日ではなく、木曜日です。","今天不是星期三，是星期四。","unlearned"
"教室の中には人がいない。","教室里没有人。","unlearned"
"木曜日の朝あなたは授業がありますか？","星期四早上你有课吗？","unlearned"
"あなたには兄弟姉妹がいますか？","你有兄弟姐妹吗？","unlearned"
"彼は誰ですか？彼は私の兄です。","他是谁？他是我哥哥。","unlearned"
"あなたの誕生日は何月何日ですか？","你的生日是几月几号？","unlearned"
"明日あなたは何時から授業ですか？","明天你几点上课？","unlearned"
"あなたたちの大学の図書館の東の方には何がありますか？","你们大学图书馆的东边儿有什么？","unlearned"
